,Major,Minor,ZipCode,DocumentDate,SalePrice,SqFtLot,SqFtTotLiving,Nuisances,Has_Nuisance,TrafficNoise,PowerLines,OtherNuisances,Is_WaterFrontLocation,WaterFrontLocation,Has_Porch,Has_OpenPorch,Has_EnclosedPorch,View_MtRainier,View_Olympics,View_Cascades,SeattleSkyline,View_PugetSound,View_LakeWashington,View_LakeSammamish,View_SmallLakeRiverCreek,BldgGrade,Has_Deck,Has_Finished_Basement,Has_Attached_Garage
25984,921151,760,98023,2019-03-27,390000,7176,1740,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0
25985,921151,850,98023,2019-06-25,465000,6650,2490,Traffic Noise,1,1,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0
25986,921151,350,98023,2019-08-02,437000,7210,2080,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,1
25987,921151,490,98023,2019-09-04,433000,6400,2060,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,1
25988,921151,280,98023,2019-09-26,399950,7227,1730,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0
25989,921151,810,98023,2019-10-09,460000,5984,1750,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0
25990,921151,650,98023,2019-12-27,451500,8750,1750,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0
25991,921290,215,98115,2019-07-03,607500,6000,1080,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,1,1
25992,921340,110,98115,2019-06-04,925000,6200,1750,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,1,1,0
25993,921340,10,98115,2019-08-28,790000,6550,1850,Other Nuisances,1,0,0,1,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0
